,Common name,Scientific name,2018 IUCN Red List category,2022 IUCN Red List category,AOU
9857,Pin-tailed Whydah,Vidua macroura,LC,LC,19510
9878,House Sparrow,Passer domesticus,LC,LC,6882
9927,Red-throated Pipit,Anthus cervinus,LC,LC,6990
9937,Sprague's Pipit,Anthus spragueii,VU,VU,7000
9984,White Wagtail,Motacilla alba,LC,LC,6940
10028,Evening Grosbeak,Hesperiphona vespertina,VU,VU,5140
10097,Pine Grosbeak,Pinicola enucleator,LC,LC,5150
10120,House Finch,Haemorhous mexicanus,LC,LC,5190
10121,Cassin's Finch,Haemorhous cassinii,NT,LC,5180
10122,Purple Finch,Haemorhous purpureus,LC,LC,5170
10177,Red Crossbill,Loxia curvirostra,LC,LC,5210
10182,European Goldfinch,Carduelis carduelis,LC,LC,5261
10196,Pine Siskin,Spinus pinus,LC,LC,5330
10197,American Goldfinch,Spinus tristis,LC,LC,5290
10198,Lesser Goldfinch,Spinus psaltria,LC,LC,5300
10199,Lawrence's Goldfinch,Spinus lawrencei,LC,LC,5310
10214,Lapland Longspur,Calcarius lapponicus,LC,LC,5360
10215,Chestnut-collared Longspur,Calcarius ornatus,VU,VU,5380
10216,Smith's Longspur,Calcarius pictus,LC,LC,5370
10218,Snow Bunting,Plectrophenax nivalis,LC,LC,5340
10265,Chipping Sparrow,Spizella passerina,LC,LC,5600
10266,Clay-colored Sparrow,Spizella pallida,LC,LC,5610
10267,Black-chinned Sparrow,Spizella atrogularis,LC,LC,5650
10268,Field Sparrow,Spizella pusilla,LC,LC,5630
10269,Brewer's Sparrow,Spizella breweri,LC,LC,5620
10271,Black-throated Sparrow,Amphispiza bilineata,LC,LC,5730
10273,Lark Sparrow,Chondestes grammacus,LC,LC,5520
10274,Lark Bunting,Calamospiza melanocorys,LC,LC,6050
10278,Rufous-winged Sparrow,Peucaea carpalis,LC,LC,5790
10282,Botteri's Sparrow,Peucaea botterii,LC,LC,5760
10283,Cassin's Sparrow,Peucaea cassinii,LC,LC,5780
10284,Bachman's Sparrow,Peucaea aestivalis,NT,NT,5750
10285,Olive Sparrow,Arremonops rufivirgatus,LC,LC,5860
10289,Grasshopper Sparrow,Ammodramus savannarum,LC,LC,5460
10324,Green-tailed Towhee,Pipilo chlorurus,LC,LC,5900
10325,Spotted Towhee,Pipilo maculatus,LC,LC,5880
10327,Eastern Towhee,Pipilo erythrophthalmus,LC,LC,5870
